0	156.4	303.7	87.7	94.6	54.4	175.8	218.4	225.7	267.4	259.9
156.4	0	264.6	160.4	247.6	119.4	243.7	319.1	84.4	173.8	290.5
303.7	264.6	0	365.9	396.8	279.4	217	292.6	355.2	124.3	130.3
87.7	160.4	365.9	0	81.7	98.9	238.2	313.5	222.6	282.4	322.3
94.6	247.6	396.8	81.7	0	141.9	263.8	298.6	313.2	354.9	347.9
54.4	119.4	279.4	98.9	141.9	0	166.9	242.2	188.9	209.4	234.7
175.8	243.7	217	238.2	263.8	166.9	0	92.6	324.3	215	116.5
218.4	319.1	292.6	313.5	298.6	242.2	92.6	0	404	308.7	187.3
225.7	84.4	355.2	222.6	313.2	188.9	324.3	404	0	265.1	371.7
267.4	173.8	124.3	282.4	354.9	209.4	215	308.7	265.1	0	213.7
259.9	290.5	130.3	322.3	347.9	234.7	116.5	187.3	371.7	213.7	0

